docket_no,sex,race
MC-51-CR-0005462-2020,Male,White
MC-51-CR-0005604-2020,Male,Black
MC-51-CR-0010191-2020,Male,Black
MC-51-CR-0000834-2020,Male,Black
MC-51-CR-0017050-2020,Female,Black
MC-51-CR-0015331-2020,Male,Black
MC-51-CR-0007565-2020,Male,Black
MC-51-CR-0011359-2020,Female,White
MC-51-CR-0016298-2020,Female,Black
MC-51-CR-0008942-2020,Female,Black
MC-51-CR-0020864-2020,Male,White
MC-51-CR-0022795-2020,Female,White
MC-51-CR-0013038-2020,Male,Black
MC-51-CR-0018281-2020,Male,Black
MC-51-CR-0020692-2020,Male,Black
MC-51-CR-0009029-2020,Male,White
MC-51-CR-0015402-2020,Male,Black
MC-51-CR-0007256-2020,Male,Black
MC-51-CR-0000397-2020,Male,White
MC-51-CR-0015892-2020,Male,White
MC-51-CR-0012953-2020,Male,Black
MC-51-CR-0017505-2020,Male,Black
MC-51-CR-0021369-2020,Male,White
MC-51-CR-0002290-2020,Male,Black
MC-51-CR-0005351-2020,Female,Black
MC-51-CR-0010854-2020,Male,Black
MC-51-CR-0007030-2020,Male,Black
MC-51-CR-0017995-2020,Male,Black
MC-51-CR-0015664-2020,Female,White
MC-51-CR-0004199-2020,Male,White
MC-51-CR-0018922-2020,Male,Black
MC-51-CR-0008087-2020,Male,Black
MC-51-CR-0001339-2020,Male,Black
MC-51-CR-0002291-2020,Male,Black
MC-51-CR-0005350-2020,Male,Black
MC-51-CR-0017504-2020,Male,Black
MC-51-CR-0021368-2020,Male,Black
MC-51-CR-0015665-2020,Male,White
MC-51-CR-0010855-2020,Male,White
MC-51-CR-0007031-2020,Male,Black
MC-51-CR-0017994-2020,Male,White
MC-51-CR-0007257-2020,Male,Black
MC-51-CR-0009028-2020,Female,Black
MC-51-CR-0015403-2020,Male,Black
MC-51-CR-0015893-2020,Male,White
MC-51-CR-0012952-2020,Male,Black
MC-51-CR-0003059-2020,Male,Black
MC-51-CR-0004198-2020,Male,Black
MC-51-CR-0001338-2020,Male,Black
MC-51-CR-0018923-2020,Male,Black
MC-51-CR-0008086-2020,Male,Black
MC-51-CR-0009681-2020,Female,Black
MC-51-CR-0005969-2020,Male,White
MC-51-CR-0021951-2020,Male,Black
MC-51-CR-0002438-2020,Male,Black
MC-51-CR-0001591-2020,Male,Black
